"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"CCS811";1;"CCS811B-JOPR";;;
2;",,,,,,,,,,,";"buzzardLabel";12;"";;;
3;"C1";"1206C";1;"10uF";;;
4;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
5;"G***";"Logo-Front-Soldered-3mm";1;"LOGO";;;
6;"K1";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
7;"R6,R1,R2,R5";"0603R";4;"4.7k";;;
8;"JP4";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
9;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
10;"JP2,JP1";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
11;"R4,R7,R3,R8";"0603R";4;"10k";;;
12;"G***";"Symbol-Front-Air-Quality";1;"LOGO";;;
13;"U3";"SOT-23-5";1;"SE5218";;;
14;"K2";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
15;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
16;"K3,K4";"easyC-connector";2;"easyC-SMD";;;
17;"G***";"Symbol-Front-CO2";1;"LOGO";;;
18;"C3,C2";"0603C";2;"2.2uF";;;
19;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
20;"U1";"SOT-363";1;"NMOS-DUAL";;;
21;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
22;"JP3,JP5";"SMD_JUMPER";2;"SMD_JUMPER";;;
23;"";"Version1.0.0.";1;"";;;
